"","gene_name","gene_title","gene_biotype","chr","pos","tx_len","map"
"SLC41A3","SLC41A3","solute carrier family 41 member 3","protein_coding","3","126006356","1873","3q21.2-q21.3"
"SLC43A1","SLC43A1","solute carrier family 43 member 1","protein_coding","11","57484533","2448","11q12.1"
"SLC43A3","SLC43A3","solute carrier family 43 member 3","protein_coding","11","57406953","2156","11q12.1"
"SLC44A1","SLC44A1","solute carrier family 44 member 1","protein_coding","9","105244650","3474","9q31.1-q31.2"
"SLC44A2","SLC44A2","solute carrier family 44 member 2","protein_coding","19","10625552","2664","19p13.2"
"SLC4A1AP","SLC4A1AP","solute carrier family 4 member 1 adaptor protein","protein_coding","2","27663470","2970","2p23.3"
"SLC4A2","SLC4A2","solute carrier family 4 member 2","protein_coding","7","151062546","4348","7q36.1"
"SLC4A7","SLC4A7","solute carrier family 4 member 7","protein_coding","3","27372722","7279","3p24.1"
"SLC52A1","SLC52A1","solute carrier family 52 member 1","protein_coding","17","5032601","2571","17p13.2"
"SLC5A3","SLC5A3","solute carrier family 5 member 3","protein_coding","21","34073577","11623","21q22.11"
"SLC5A6","SLC5A6","solute carrier family 5 member 6","protein_coding","2","27199586","2155","2p23.3"
"SLC6A6","SLC6A6","solute carrier family 6 member 6","protein_coding","3","14402605","3837","3p25.1"
"SLC7A1","SLC7A1","solute carrier family 7 member 1","protein_coding","13","29509413","7343","13q12.3"
"SLC7A5","SLC7A5","solute carrier family 7 member 5","protein_coding","16","87830022","4543","16q24.2"
"SLC7A6OS","SLC7A6OS","solute carrier family 7 member 6 opposite strand","protein_coding","16","68298033","1629","16q22.1"
"SLC8B1","SLC8B1","solute carrier family 8 member B1","protein_coding","12","113298770","2276","12q24.13"
"SLC9A1","SLC9A1","solute carrier family 9 member A1","protein_coding","1","27098808","3727","1p36.11"
"SLC9A3R1","SLC9A3R1","SLC9A3 regulator 1","protein_coding","17","74748627","1422","17q25.1"
"SLC9A3R2","SLC9A3R2","SLC9A3 regulator 2","protein_coding","16","2033293","1950","16p13.3"
"SLCO6A1","SLCO6A1","solute carrier organic anion transporter family member 6A1","protein_coding","5","102371773","2262","5q21.1"
"SLFN11","SLFN11","schlafen family member 11","protein_coding","17","35350309","5138","17q12"
"SLFN5","SLFN5","schlafen family member 5","protein_coding","17","35243071","3273","17q12"
"SLIRP","SLIRP","SRA stem-loop interacting RNA binding protein","protein_coding","14","77708070","438","14q24.3"
"SLMAP","SLMAP","sarcolemma associated protein","protein_coding","3","57890001","3292","3p14.3"
"SLTM","SLTM","SAFB like transcription modulator","protein_coding","15","58879049","3398","15q22.1"
"SLU7","SLU7","SLU7 homolog, splicing factor","protein_coding","5","160401640","1473","5q33.3"
"SMAD2","SMAD2","SMAD family member 2","protein_coding","18","47808956","8357","18q21.1"
"SMAD3","SMAD3","SMAD family member 3","protein_coding","15","67166154","5872","15q22.33"
"SMAD4","SMAD4","SMAD family member 4","protein_coding","18","51030212","6778","18q21.2"
"SMARCA2","SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","protein_coding","9","2158451","3559","9p24.3"
"SMARCA4","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","protein_coding","19","10984123","4498","19p13.2"
"SMARCA5","SMARCA5","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5","protein_coding","4","143513701","7926","4q31.21"
"SMARCAD1","SMARCAD1","SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1","protein_coding","4","94207864","4873","4q22.3"
"SMARCAL1","SMARCAL1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1","protein_coding","2","216412483","3094","2q35"
"SMARCB1","SMARCB1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","protein_coding","22","23786965","1075","22q11.23|22q11"
"SMARCC1","SMARCC1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1","protein_coding","3","47585269","5180","3p21.31"
"SMARCC2","SMARCC2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2","protein_coding","12","56162358","5408","12q13.2"
"SMARCD1","SMARCD1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","protein_coding","12","50085341","2942","12q13.12"
"SMARCD2","SMARCD2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2","protein_coding","17","63832080","2483","17q23.3"
"SMARCE1","SMARCE1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1","protein_coding","17","40624961","2098","17q21.2"
"SMC1A","SMC1A","structural maintenance of chromosomes 1A","protein_coding","X","53374148","7124","Xp11.22"
"SMC2","SMC2","structural maintenance of chromosomes 2","protein_coding","9","104094626","4060","9q31.1"
"SMC3","SMC3","structural maintenance of chromosomes 3","protein_coding","10","110567694","4112","10q25.2"
"SMC4","SMC4","structural maintenance of chromosomes 4","protein_coding","3","160400558","3775","3q25.33"
"SMC5","SMC5","structural maintenance of chromosomes 5","protein_coding","9","70258977","4658","9q21.12"
"SMC6","SMC6","structural maintenance of chromosomes 6","protein_coding","2","17663811","3790","2p24.2"
"SMCHD1","SMCHD1","structural maintenance of chromosomes flexible hinge domain containing 1","protein_coding","18","2655725","7382","18p11.32"
"SMG1","SMG1","SMG1 nonsense mediated mRNA decay associated PI3K related kinase","protein_coding","16","18804859","11446","16p12.3"
"SMG5","SMG5","SMG5 nonsense mediated mRNA decay factor","protein_coding","1","156249223","4563","1q22"
"SMG6","SMG6","SMG6 nonsense mediated mRNA decay factor","protein_coding","17","2059838","3840","17p13.3"
"SMG7","SMG7","SMG7 nonsense mediated mRNA decay factor","protein_coding","1","183472498","4725","1q25.3"
"SMG8","SMG8","SMG8 nonsense mediated mRNA decay factor","protein_coding","17","59210009","3266","17q22"
"SMG9","SMG9","SMG9 nonsense mediated mRNA decay factor","protein_coding","19","43727982","2097","19q13.31"
"SMIM12","SMIM12","small integral membrane protein 12","protein_coding","1","34850361","5892","1p34.3"
"SMIM20","SMIM20","small integral membrane protein 20","protein_coding","4","25914191","1014","4p15.2"
"SMN1","SMN1","survival of motor neuron 1, telomeric","protein_coding","5","70049522","982","5q13.2"
"SMNDC1","SMNDC1","survival motor neuron domain containing 1","protein_coding","10","110290730","2029","10q25.2"
"SMPD4","SMPD4","sphingomyelin phosphodiesterase 4","protein_coding","2","130151407","4433","2q21.1"
"SMS","SMS","spermine synthase","protein_coding","X","21940572","1446","Xp22.11"
"SMTN","SMTN","smoothelin","protein_coding","22","31081317","2751","22q12.2"
"SMU1","SMU1","SMU1 DNA replication regulator and spliceosomal factor","protein_coding","9","33041765","6909","9p21.1"
"SMYD2","SMYD2","SET and MYND domain containing 2","protein_coding","1","214281158","1327","1q32.3"
"SMYD3","SMYD3","SET and MYND domain containing 3","protein_coding","1","245749339","1654","1q44"
"SMYD5","SMYD5","SMYD family member 5","protein_coding","2","73214244","2558","2p13.2"
"SNAP23","SNAP23","synaptosome associated protein 23","protein_coding","15","42495305","2562","15q15.1-q15.2"
"SNAP29","SNAP29","synaptosome associated protein 29","protein_coding","22","20859006","4261","22q11.21"
"SNAPC1","SNAPC1","small nuclear RNA activating complex polypeptide 1","protein_coding","14","61762419","2656","14q23.2"
"SNAPC3","SNAPC3","small nuclear RNA activating complex polypeptide 3","protein_coding","9","15422783","2164","9p22.3"
"SNAPC4","SNAPC4","small nuclear RNA activating complex polypeptide 4","protein_coding","9","136375568","4650","9q34.3"
"SNAPC5","SNAPC5","small nuclear RNA activating complex polypeptide 5","protein_coding","15","66489748","621","15q22.31"
"SNAPIN","SNAPIN","SNAP associated protein","protein_coding","1","153658702","1016","1q21.3"
"SND1","SND1","staphylococcal nuclease and tudor domain containing 1","protein_coding","7","127652193","2954","7q32.1"
"SNF8","SNF8","SNF8 subunit of ESCRT-II","protein_coding","17","48929315","1212","17q21.32"
"SNIP1","SNIP1","Smad nuclear interacting protein 1","protein_coding","1","37534448","4446","1p34.3"
"SNRK","SNRK","SNF related kinase","protein_coding","3","43286511","4396","3p22.1"
"SNRNP200","SNRNP200","small nuclear ribonucleoprotein U5 subunit 200","protein_coding","2","96274337","4252","2q11.2"
"SNRNP27","SNRNP27","small nuclear ribonucleoprotein U4/U6.U5 subunit 27","protein_coding","2","69893955","1395","2p13.3"
"SNRNP40","SNRNP40","small nuclear ribonucleoprotein U5 subunit 40","protein_coding","1","31259567","1566","1p35.2"
"SNRNP48","SNRNP48","small nuclear ribonucleoprotein U11/U12 subunit 48","protein_coding","6","7590197","4329","6p24.3"
"SNRNP70","SNRNP70","small nuclear ribonucleoprotein U1 subunit 70","protein_coding","19","49085450","2078","19q13.33"
"SNRPA","SNRPA","small nuclear ribonucleoprotein polypeptide A","protein_coding","19","40751202","1629","19q13.2"
"SNRPA1","SNRPA1","small nuclear ribonucleoprotein polypeptide A'","protein_coding","15","101281509","839","15q26.3"
"SNRPB","SNRPB","small nuclear ribonucleoprotein polypeptides B and B1","protein_coding","20","2461641","1473","20p13"
"SNRPB2","SNRPB2","small nuclear ribonucleoprotein polypeptide B2","protein_coding","20","16730025","1631","20p12.1"
"SNRPD1","SNRPD1","small nuclear ribonucleoprotein D1 polypeptide","protein_coding","18","21612313","1600","18q11.2"
"SNRPD2","SNRPD2","small nuclear ribonucleoprotein D2 polypeptide","protein_coding","19","45687453","810","19q13.32"
"SNRPD3","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","protein_coding","22","24555649","1572","22q11.23"
"SNRPE","SNRPE","small nuclear ribonucleoprotein polypeptide E","protein_coding","1","203861846","1576","1q32.1"
"SNRPF","SNRPF","small nuclear ribonucleoprotein polypeptide F","protein_coding","12","95858951","793","12q23.1"
"SNRPG","SNRPG","small nuclear ribonucleoprotein polypeptide G","protein_coding","2","70281361","898","2p13.3"
"SNTB1","SNTB1","syntrophin beta 1","protein_coding","8","120535755","3721","8q24.12"
"SNTB2","SNTB2","syntrophin beta 2","protein_coding","16","69187146","9666","16q22.1"
"SNU13","SNU13","small nuclear ribonucleoprotein 13","protein_coding","22","41673932","1616","22q13.2"
"SNUPN","SNUPN","snurportin 1","protein_coding","15","75598085","1678","15q24.2"
"SNW1","SNW1","SNW domain containing 1","protein_coding","14","77717600","2027","14q24.3"
"SNX1","SNX1","sorting nexin 1","protein_coding","15","64095981","6790","15q22.31"
"SNX12","SNX12","sorting nexin 12","protein_coding","X","71059246","2060","Xq13.1"
"SNX15","SNX15","sorting nexin 15","protein_coding","11","65027438","","11q13.1"
"SNX16","SNX16","sorting nexin 16","protein_coding","8","81799582","3263","8q21.13"
"SNX17","SNX17","sorting nexin 17","protein_coding","2","27370615","2417","2p23.3"
"SNX18","SNX18","sorting nexin 18","protein_coding","5","54517758","4612","5q11.2"
"SNX2","SNX2","sorting nexin 2","protein_coding","5","122774995","6834","5q23.2"
"SNX20","SNX20","sorting nexin 20","protein_coding","16","50666299","2278","16q12.1"
"SNX27","SNX27","sorting nexin 27","protein_coding","1","151612049","4319","1q21.3"
"SNX29","SNX29","sorting nexin 29","protein_coding","16","11976733","3672","16p13.13-p13.12"
"SNX3","SNX3","sorting nexin 3","protein_coding","6","108211223","1461","6q21"
"SNX33","SNX33","sorting nexin 33","protein_coding","15","75647911","2748","15q24.2"
"SNX4","SNX4","sorting nexin 4","protein_coding","3","125446649","2469","3q21.2"
"SNX5","SNX5","sorting nexin 5","protein_coding","20","17941599","2169","20p11.23"
"SNX6","SNX6","sorting nexin 6","protein_coding","14","34561092","2605","14q13.1"
"SNX8","SNX8","sorting nexin 8","protein_coding","7","2251769","4727","7p22.3"
"SNX9","SNX9","sorting nexin 9","protein_coding","6","157823245","4200","6q25.3"
"SOAT1","SOAT1","sterol O-acyltransferase 1","protein_coding","1","179293713","6809","1q25.2"
"SOD1","SOD1","superoxide dismutase 1","protein_coding","21","31659692","965","21q22.11"
"SOD2","SOD2","superoxide dismutase 2","protein_coding","6","159679063","1410","6q25.3"
"SON","SON","SON DNA and RNA binding protein","protein_coding","21","33543037","5412","21q22.11"
"SORBS3","SORBS3","sorbin and SH3 domain containing 3","protein_coding","8","22565728","2200","8p21.3"
"SORD","SORD","sorbitol dehydrogenase","protein_coding","15","45023194","2447","15q21.1"
"SORL1","SORL1","sortilin related receptor 1","protein_coding","11","121452313","8615","11q24.1"
"SOS1","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1","protein_coding","2","38981548","5496","2p22.1"
"SOS2","SOS2","SOS Ras/Rho guanine nucleotide exchange factor 2","protein_coding","14","50117131","3370","14q21.3"
"SOX9","SOX9","SRY-box transcription factor 9","protein_coding","17","72121019","3934","17q24.3"
"SP100","SP100","SP100 nuclear antigen","protein_coding","2","230416755","2772","2q37.1"
"SP110","SP110","SP110 nuclear body protein","protein_coding","2","230165185","2037","2q37.1"
"SP140","SP140","SP140 nuclear body protein","protein_coding","2","230225735","2459","2q37.1"
"SP140L","SP140L","SP140 nuclear body protein like","protein_coding","2","230327170","2088","2q37.1"
"SP2","SP2","Sp2 transcription factor","protein_coding","17","47896235","3200","17q21.32"
"SP4","SP4","Sp4 transcription factor","protein_coding","7","21428082","5783","7p15.3"
"SPAG1","SPAG1","sperm associated antigen 1","protein_coding","8","100158586","3097","8q22.2"
"SPAG5","SPAG5","sperm associated antigen 5","protein_coding","17","28577573","3808","17q11.2"
"SPAG7","SPAG7","sperm associated antigen 7","protein_coding","17","4959225","1083","17p13.2"
"SPAST","SPAST","spastin","protein_coding","2","32063555","5165","2p22.3"
"SPATA13","SPATA13","spermatogenesis associated 13","protein_coding","13","23979801","5455","13q12.12"
"SPATA5","SPATA5","spermatogenesis associated 5","protein_coding","4","122923077","5195","4q28.1"
"SPATA5L1","SPATA5L1","spermatogenesis associated 5 like 1","protein_coding","15","45402335","2594","15q21.1"
"SPATS2","SPATS2","spermatogenesis associated serine rich 2","protein_coding","12","49367461","3540","12q13.12"
"SPATS2L","SPATS2L","spermatogenesis associated serine rich 2 like","protein_coding","2","200308949","6256","2q33.1"
"SPC24","SPC24","SPC24 component of NDC80 kinetochore complex","protein_coding","19","11147598","654","19p13.2"
"SPC25","SPC25","SPC25 component of NDC80 kinetochore complex","protein_coding","2","168870890","1346","2q24.3"
"SPCS1","SPCS1","signal peptidase complex subunit 1","protein_coding","3","52706105","1084","3p21.1"
"SPCS2","SPCS2","signal peptidase complex subunit 2","protein_coding","11","74949265","2708","11q13.4"
"SPCS3","SPCS3","signal peptidase complex subunit 3","protein_coding","4","176319965","4596","4q34.2"
"SPDL1","SPDL1","spindle apparatus coiled-coil protein 1","protein_coding","5","169583772","2432","5q35.1"
"SPECC1","SPECC1","sperm antigen with calponin homology and coiled-coil domains 1","protein_coding","17","20156071","4237","17p11.2"
"SPECC1L","SPECC1L","sperm antigen with calponin homology and coiled-coil domains 1 like","protein_coding","22","24342107","6098","22q11.23"
"SPEN","SPEN","spen family transcriptional repressor","protein_coding","1","15847706","12064","1p36.21-p36.13"
"SPG11","SPG11","SPG11 vesicle trafficking associated, spatacsin","protein_coding","15","44562695","4425","15q21.1"
"SPG21","SPG21","SPG21 abhydrolase domain containing, maspardin","protein_coding","15","64963021","1711","15q22.31"
"SPG7","SPG7","SPG7 matrix AAA peptidase subunit, paraplegin","protein_coding","16","89508402","2174","16q24.3"
"SPHKAP","SPHKAP","SPHK1 interactor, AKAP domain containing","protein_coding","2","227979953","6714","2q36.3"
"SPICE1","SPICE1","spindle and centriole associated protein 1","protein_coding","3","113442717","4071","3q13.2"
